Geneid	SD1	SD2	SD3	TG1	TG3
ZN651G0249	140	151	667	20	89
ZN651G0250	0	2	0	0	1
ZN651G0251	3620	3427	3348	1195	3118
ZN651G0252	0	0	0	0	0
ZN651G0253	23	35	37	7	29
ZN651G0254	1	0	0	0	1
ZN651G0255	1	0	1	1	0
ZN651G0256	50	140	187	1	10
ZN651G0257	27	91	118	7	10
ZN651G0258	2382	1389	1637	1595	2157
ZN651G0259	0	0	0	0	0
ZN651G0260	0	0	0	0	0
ZN651G0261	135	84	126	0	7
ZN651G0262	0	0	0	0	0
ZN651G0263	0	1	0	0	0
ZN651G0264	0	0	0	0	0
ZN651G0265	0	0	0	0	0
ZN651G0266	5057	1531	1420	0	421
ZN651G0267	4823	3168	3204	2150	8101
ZN651G0268	1	1	2	0	0
ZN651G0269	0	0	0	0	0
ZN651G0270	0	0	0	0	0
ZN651G0271	0	0	0	0	0
ZN651G0272	232	598	597	790	245
ZN651G0273	139	297	288	564	150
ZN651G0274	67	179	71	151	32
ZN651G0275	694	1379	804	1389	776
ZN651G0276	193	258	196	260	78
ZN651G0277	47	84	55	926	52
ZN651G0278	348	337	300	695	767
ZN651G0279	1708	1579	1531	2043	7031
ZN651G0280	0	0	0	0	9
ZN651G0281	0	0	0	0	0
ZN651G0282	257	293	445	475	247
ZN651G0283	0	0	0	0	0
ZN651G0284	80	107	132	293	255
ZN651G0285	1	0	1	0	0
ZN651G0286	1722	1568	1384	726	2782
ZN651G0287	349	421	629	27	142
ZN651G0288	451	586	563	419	899
ZN651G0289	340	810	690	72	208
ZN651G0290	29	17	25	13	3
ZN651G0291	5	3	10	5	1
ZN651G0292	131	317	231	325	163
ZN651G0293	5	4	14	4	11
ZN651G0294	662	455	562	485	346
ZN651G0295	163	124	193	92	65
ZN651G0296	9	11	9	9	4
ZN651G0297	19	33	46	0	1
ZN651G0298	18	16	17	6	14
ZN651G0299	0	0	0	0	0
ZN651G0300	0	0	0	0	0
ZN651G0301	0	1	3	3	0
ZN651G0302	11	14	16	15	115
ZN651G0303	0	1	2	0	0
ZN651G0304	12	20	16	8	3
ZN651G0305	0	0	0	0	0
ZN651G0306	2	1	0	0	0
ZN651G0307	6	2	1	0	1
ZN651G0308	0	0	0	0	0
ZN651G0309	0	1	0	0	0
ZN651G0310	1500	1592	1517	1834	2655
ZN651G0311	50	58	74	30	43
ZN651G0312	3	4	1	1	4
ZN651G0313	12	11	12	6	1
ZN651G0314	20	28	21	24	5
ZN651G0315	169	337	236	528	244
ZN651G0316	3	11	14	4	12
ZN651G0317	5400	6747	6945	6752	7207
ZN651G0318	2275	3854	2467	2280	3203
ZN651G0319	544	744	766	577	298
ZN651G0320	0	1	0	1	1
ZN651G0321	5	6	7	0	4
ZN651G0322	0	0	0	0	0
ZN651G0323	352	360	334	753	635
ZN651G0324	0	0	0	0	0
ZN651G0325	0	0	0	0	0
ZN651G0326	0	2	0	8	1
ZN651G0327	0	0	0	0	0
ZN651G0328	0	1	0	0	3
ZN651G0329	255	281	126	114	327
ZN651G0330	1080	598	642	1398	1771
ZN651G0331	25	12	12	65	71
ZN651G0332	310	467	343	8095	3693
ZN651G0333	991	464	282	797	1111
ZN651G0334	1128	1142	936	1906	928
ZN651G0335	188	166	171	428	123
