Geneid	SD1	SD2	SD3	TG1	TG3
ZN655G0137	464	842	464	728	2072
ZN655G0138	771	2706	1831	5643	7072
ZN655G0139	2	6	0	2	22
ZN655G0140	5	6	4	0	12
ZN655G0141	1	0	3	0	0
ZN655G0142	0	0	0	0	0
ZN655G0143	6	6	8	2	2
ZN655G0144	0	0	0	0	0
ZN655G0145	0	2	3	0	0
ZN655G0146	0	0	0	0	0
ZN655G0147	0	1	0	0	0
ZN655G0148	167	187	154	175	96
ZN655G0149	529	663	621	969	738
ZN655G0150	32	150	186	1	7
ZN655G0151	1051	1386	930	1106	1738
ZN655G0152	0	0	0	0	0
ZN655G0153	36	54	54	56	32
ZN655G0154	6	34	6	5	1
ZN655G0155	0	0	0	1	0
ZN655G0156	97	87	93	128	47
ZN655G0157	92	61	41	191	168
ZN655G0158	141	194	522	95	304
ZN655G0159	1161	597	755	577	3459
ZN655G0160	9915	12740	14956	11801	44824
ZN655G0161	5	16	13	13	5
ZN655G0162	0	4	1	0	8
ZN655G0163	3	91	62	0	7
ZN655G0164	1	0	0	0	0
ZN655G0165	853	1007	1100	1214	1601
ZN655G0166	177	124	106	191	208
ZN655G0167	0	0	0	0	0
ZN655G0168	0	0	0	0	0
ZN655G0169	1519	3445	2348	595	197
ZN655G0170	87	70	63	87	31
ZN655G0171	3	4	11	4	3
ZN655G0172	4718	3183	4460	2277	1568
ZN655G0173	6	7	2	0	2
ZN655G0174	658	887	711	1520	361
ZN655G0175	228	453	427	648	169
ZN655G0176	378	143	140	253	305
ZN655G0177	4437	8407	5276	6235	3323
ZN655G0178	60	118	40	57	21
ZN655G0179	2	12	5	1	0
ZN655G0180	7	24	60	3	7
ZN655G0181	17	100	83	10	3
ZN655G0182	0	0	0	0	1
ZN655G0183	0	0	0	0	2
ZN655G0184	2	6	8	1	6
ZN655G0185	0	0	0	0	0
ZN655G0186	17	57	243	40	9
ZN655G0187	2	3	0	21	19
ZN655G0188	738	1665	1805	1388	2381
ZN655G0189	1250	927	948	989	1332
ZN655G0190	32	3	6	0	0
ZN655G0191	243	421	527	261	220
ZN655G0192	1	0	1	0	2
ZN655G0193	326	539	693	449	1139
ZN655G0194	0	20	18	5	7
ZN655G0195	0	1	0	1	2
ZN655G0196	0	0	0	0	0
ZN655G0197	0	0	0	0	0
ZN655G0198	0	0	0	0	0
ZN655G0199	0	0	0	0	0
ZN655G0200	0	0	0	0	0
ZN655G0201	1	0	0	0	0
ZN655G0202	0	0	0	0	0
ZN655G0203	0	0	0	0	0
ZN655G0204	2	1	6	0	0
ZN655G0205	0	0	0	0	0
ZN655G0206	0	0	0	0	0
ZN655G0207	0	0	0	3	0
ZN655G0208	0	0	0	0	0
ZN655G0209	2404	2967	2622	1695	2694
ZN655G0210	3	2	3	1	7
ZN655G0211	129	75	77	5	2
ZN655G0212	666	309	155	8	38
ZN655G0213	14520	5493	5482	1039	2181
ZN655G0214	282	344	302	234	126
ZN655G0215	0	0	0	0	0
ZN655G0216	0	0	1	0	0
ZN655G0217	0	0	0	0	0
ZN655G0218	17	25	49	15	14
ZN655G0219	205	317	603	207	158
ZN655G0220	278	308	318	358	189
ZN655G0221	6968	6647	4735	6060	5375
ZN655G0222	170	368	675	227	103
ZN655G0223	89	225	274	54	329
ZN655G0224	5290	4075	7404	280	4699
ZN655G0225	147	87	66	126	65
ZN655G0226	69	56	53	587	97
ZN655G0227	0	0	0	0	0
ZN655G0228	248	81	116	29	458
ZN655G0229	2017	1790	1297	1889	1119
ZN655G0230	32087	30519	28786	18322	20140
ZN655G0231	49	21	44	2	18
ZN655G0232	1618	1286	1045	1943	818
ZN655G0233	36	8	10	12	0
ZN655G0234	1811	1611	2149	778	509
ZN655G0235	761	845	618	734	951
ZN655G0236	39	7	10	7	17
ZN655G0237	0	0	0	0	0
ZN655G0238	29192	20700	20900	2822	6815
ZN655G0239	0	2	5	0	6
ZN655G0240	2	3	15	3	1
ZN655G0241	46	93	79	238	185
ZN655G0242	405	351	404	360	189
ZN655G0243	832	531	578	93	754
ZN655G0244	0	0	0	0	0
ZN655G0245	1664	294	289	124	4198
ZN655G0246	3086	410	240	71	4853
ZN655G0247	10	0	0	0	3
ZN655G0248	0	0	0	0	0
ZN655G0249	0	0	0	0	1
ZN655G0250	0	1	0	1	1
ZN655G0251	2	1	0	0	1
ZN655G0252	320	666	876	630	384
ZN655G0253	0	0	0	0	0
ZN655G0254	0	0	0	0	0
ZN655G0255	268	411	451	413	79
ZN655G0256	12	53	9	19	28
ZN655G0257	385	2723	2279	1010	920
ZN655G0258	5	5	7	2	1
ZN655G0259	1067	588	599	376	98
ZN655G0260	346	722	639	469	136
ZN655G0261	0	0	0	0	0
ZN655G0262	111	22	24	2	1
ZN655G0263	718	1044	1343	1149	407
ZN655G0264	0	0	0	0	0
ZN655G0265	1621	1051	1235	998	816
ZN655G0266	889	544	380	477	596
ZN655G0267	58	47	13	48	109
ZN655G0268	1654	949	708	1544	2486
ZN655G0269	312	424	342	346	276
ZN655G0270	950	1241	2309	4	377
ZN655G0271	5	1	2	0	0
ZN655G0272	0	0	0	0	0
ZN655G0273	0	0	0	0	0
ZN655G0274	0	2	0	0	0
ZN655G0275	0	0	1	0	0
ZN655G0276	0	0	1	0	0
ZN655G0277	0	0	0	0	0
ZN655G0278	122	310	408	1	255
ZN655G0279	0	192	116	0	11
ZN655G0280	16945	17642	23110	9216	13285
ZN655G0281	5898	6149	7565	1547	4612
ZN655G0282	353	341	269	1298	642
ZN655G0283	5	9	14	12	5
ZN655G0284	123	250	208	526	883
ZN655G0285	0	4	4	54	0
ZN655G0286	0	0	0	0	0
ZN655G0287	0	0	0	0	0
ZN655G0288	801	1861	1209	734	59
ZN655G0289	470	1492	572	961	120
ZN655G0290	4396	2751	2410	4243	3189
ZN655G0291	11043	11867	13793	11921	6988
ZN655G0292	796	276	240	371	195
ZN655G0293	159	129	160	107	24
ZN655G0294	33	20	24	53	8
ZN655G0295	24	63	37	79	10
ZN655G0296	34	35	20	3	29
ZN655G0297	13	5	6	2	1
ZN655G0298	23199	16737	22780	2103	11725
ZN655G0299	4	4	7	1	2
ZN655G0300	1070	963	1118	653	32
ZN655G0301	28	38	35	49	6
ZN655G0302	0	0	0	0	0
ZN655G0303	5	10	9	5	3
ZN655G0304	0	0	0	0	0
ZN655G0305	0	0	1	0	0
ZN655G0306	0	0	0	0	0
ZN655G0307	0	0	0	0	0
ZN655G0308	0	0	0	0	0
ZN655G0309	10	101	104	2	0
ZN655G0310	88	196	70	360	158
ZN655G0311	0	0	0	0	0
ZN655G0312	957	774	835	1307	1533
ZN655G0313	115	131	131	130	48
ZN655G0314	0	1	0	0	0
ZN655G0315	11	72	60	48	24
ZN655G0316	0	0	0	1	0
ZN655G0317	5	9	10	2	3
ZN655G0318	4	3	2	0	0
ZN655G0319	206	210	256	213	124
ZN655G0320	406	594	543	623	546
ZN655G0321	321	341	484	186	294
ZN655G0322	5	0	0	0	1
ZN655G0323	0	0	0	0	0
ZN655G0324	0	0	0	0	0
ZN655G0325	121	306	444	179	252
ZN655G0326	50	178	264	61	286
ZN655G0327	23	18	79	9	6
ZN655G0328	19	59	30	21	264
ZN655G0329	497	543	681	506	116
ZN655G0330	1471	1419	914	5458	743
ZN655G0331	239	272	216	381	244
ZN655G0332	4951	3473	2000	4051	1759
ZN655G0333	3	0	0	1	1
ZN655G0334	130	60	69	3	3
ZN655G0335	44	30	29	2	2
ZN655G0336	152	203	251	184	104
ZN655G0337	17	34	16	16	30
ZN655G0338	1286	1611	1730	1037	753
ZN655G0339	1200	1027	910	908	743
ZN655G0340	927	1154	768	989	1141
ZN655G0341	1448	1473	1259	1705	1809
ZN655G0342	187	217	199	182	201
ZN655G0343	86	120	140	9	11
ZN655G0344	399	297	343	193	96
ZN655G0345	46	5	1	0	1
ZN655G0346	390	390	397	241	439
ZN655G0347	129	190	105	52	361
ZN655G0348	16	29	6	9	76
ZN655G0349	789	916	793	656	645
ZN655G0350	12	42	27	20	6
ZN655G0351	15	20	18	25	75
ZN655G0352	0	4	5	5	2
ZN655G0353	0	0	0	0	0
ZN655G0354	0	0	0	0	0
ZN655G0355	0	4	1	0	2
ZN655G0356	0	0	0	0	0
ZN655G0357	339	315	281	161	249
ZN655G0358	95	260	151	216	123
ZN655G0359	48	70	122	106	52
ZN655G0360	471	730	619	1074	1287
ZN655G0361	1079	2309	2020	1199	2919
ZN655G0362	29	38	33	16	44
ZN655G0363	141	71	53	23	49
ZN655G0364	5	2	3	2	13
ZN655G0365	44	73	27	94	75
ZN655G0366	12	34	27	28	18
ZN655G0367	99	104	164	133	143
ZN655G0368	0	0	0	0	0
ZN655G0369	0	0	0	0	0
ZN655G0370	1	7	3	0	0
ZN655G0371	870	1205	820	1541	802
ZN655G0372	2720	2892	2104	8164	1091
ZN655G0373	1	1	8	1	9
ZN655G0374	89	58	106	6	16
ZN655G0375	0	0	0	0	0
ZN655G0376	0	0	0	0	0
ZN655G0377	460	501	479	293	510
ZN655G0378	495	222	301	103	45
ZN655G0379	69	31	34	3	4
ZN655G0380	7139	2821	3614	1010	615
ZN655G0381	18	103	94	86	8
ZN655G0382	3260	2916	2919	2922	2785
ZN655G0383	2664	2863	3227	1743	1767
ZN655G0384	252	350	412	337	101
ZN655G0385	9	13	13	14	5
ZN655G0386	5	9	15	19	2
ZN655G0387	485	384	283	765	491
ZN655G0388	0	0	0	0	1
ZN655G0389	0	0	0	0	0
ZN655G0390	1498	2526	2073	2292	1582
ZN655G0391	246	437	413	491	384
ZN655G0392	567	752	589	1345	825
ZN655G0393	322	419	349	171	102
ZN655G0394	17	69	49	13	18
ZN655G0395	778	1244	954	1797	695
ZN655G0396	555	755	545	691	1220
ZN655G0397	26	25	12	41	17
ZN655G0398	1	10	14	16	24
ZN655G0399	0	0	0	0	4
ZN655G0400	1	0	0	0	2
ZN655G0401	2	1	0	1	7
ZN655G0402	4254	2647	2612	5749	11658
ZN655G0403	4248	5752	3395	2407	5752
ZN655G0404	3	16	20	15	8
ZN655G0405	9	13	6	3	12
ZN655G0406	118	164	131	127	204
ZN655G0407	51	132	97	64	97
ZN655G0408	0	0	0	0	0
ZN655G0409	0	0	0	0	0
ZN655G0410	0	0	0	0	0
ZN655G0411	5	38	36	12	11
ZN655G0412	0	0	0	0	0
ZN655G0413	0	0	0	0	0
ZN655G0414	1	0	0	0	0
ZN655G0415	13	18	7	11	44
ZN655G0416	1	3	2	0	2
ZN655G0417	0	0	3	4	0
ZN655G0418	0	0	0	0	0
ZN655G0419	0	0	0	0	0
ZN655G0420	0	0	0	0	0
ZN655G0421	0	0	0	0	0
ZN655G0422	0	0	0	0	0
ZN655G0423	0	0	0	0	0
ZN655G0424	0	0	0	0	0
ZN655G0425	0	0	2	0	2
ZN655G0426	58	91	70	96	56
ZN655G0427	1048	1032	1114	1784	1391
ZN655G0428	676	1191	780	624	1661
ZN655G0429	400	335	279	562	307
ZN655G0430	146	183	243	252	145
ZN655G0431	0	0	0	0	0
ZN655G0432	2580	1916	2068	2661	4061
ZN655G0433	22	98	69	218	605
ZN655G0434	822	684	637	661	700
ZN655G0435	29	118	176	15	11
ZN655G0436	43	160	99	15	22
ZN655G0437	2705	2946	3607	2719	5612
ZN655G0438	315	499	516	511	238
ZN655G0439	42	7	7	1	44
ZN655G0440	31	59	95	103	26
ZN655G0441	2425	2583	2434	3265	4162
ZN655G0442	1460	1372	1387	1414	2058
ZN655G0443	247	358	424	392	168
ZN655G0444	92	138	295	229	231
ZN655G0445	1467	3143	2373	2157	1632
ZN655G0446	0	0	1	0	1
ZN655G0447	455	323	365	655	521
ZN655G0448	513	663	916	1123	903
ZN655G0449	379	616	725	627	446
ZN655G0450	0	0	0	0	0
ZN655G0451	86	139	135	55	24
ZN655G0452	49	91	85	162	184
ZN655G0453	0	0	0	0	0
ZN655G0454	107	147	154	103	88
ZN655G0455	178	339	282	34	22
ZN655G0456	53	77	56	25	13
ZN655G0457	643	1366	1147	1416	963
ZN655G0458	519	624	709	605	1304
ZN655G0459	1123	1261	1118	379	766
ZN655G0460	52	340	253	13	55
ZN655G0461	0	0	0	0	0
ZN655G0462	0	0	0	0	0
ZN655G0463	499	566	577	664	721
ZN655G0464	464	812	706	780	489
ZN655G0465	3828	1918	2316	2543	3665
ZN655G0466	35	461	560	11	5
ZN655G0467	8	43	31	121	51
ZN655G0468	0	0	0	0	0
ZN655G0469	15	14	22	5	2
ZN655G0470	0	0	0	0	0
ZN655G0471	294	324	265	563	478
ZN655G0472	0	4	7	0	1
ZN655G0473	0	0	0	0	0
ZN655G0474	1319	735	581	1751	294
ZN655G0475	14	570	94	5689	462
ZN655G0476	29	34	77	0	0
ZN655G0477	0	0	0	0	0
ZN655G0478	1883	259	539	0	0
ZN655G0479	884	1162	1139	1066	924
ZN655G0480	295	343	278	12	223
ZN655G0481	52	26	35	33	38
ZN655G0482	234	76	124	1	179
ZN655G0483	0	0	0	0	0
ZN655G0484	1174	1271	812	1278	1617
ZN655G0485	389	301	291	413	262
ZN655G0486	3891	6256	4338	3642	5860
ZN655G0487	1	10	1	7	11
ZN655G0488	1000	600	662	767	1005
ZN655G0489	79	184	72	79	183
ZN655G0490	0	0	1	1	1
ZN655G0491	0	0	0	0	0
ZN655G0492	2753	2164	2179	1799	2594
ZN655G0493	13	18	15	0	30
ZN655G0494	1758	4863	3265	3320	1907
ZN655G0495	82	215	336	42	34
ZN655G0496	0	0	0	0	0
ZN655G0497	2	2	2	2	0
ZN655G0498	509	368	344	390	656
ZN655G0499	90	143	133	168	158
ZN655G0500	0	0	0	0	0
ZN655G0501	0	0	0	5	0
ZN655G0502	399	504	439	674	282
ZN655G0503	0	1	0	0	0
ZN655G0504	5	30	29	7	6
ZN655G0505	0	1	0	1	0
ZN655G0506	1546	1518	1459	594	467
ZN655G0507	8	0	5	1	5
ZN655G0508	0	0	0	0	0
ZN655G0509	0	0	0	0	0
ZN655G0510	0	0	0	0	0
ZN655G0511	0	0	0	0	0
ZN655G0512	0	0	0	0	0
ZN655G0513	0	0	0	0	0
ZN655G0514	0	0	0	0	0
ZN655G0515	99	260	191	4	15
ZN655G0516	0	0	0	0	0
ZN655G0517	0	1	3	3	5
ZN655G0518	24	26	14	0	0
ZN655G0519	0	0	0	0	0
ZN655G0520	0	0	1	0	1
ZN655G0521	0	0	0	0	0
ZN655G0522	0	0	0	0	0
ZN655G0523	0	0	0	0	0
ZN655G0524	0	0	0	3	1
ZN655G0525	0	0	0	0	0
ZN655G0526	0	0	0	0	0
ZN655G0527	1	20	1	7	0
ZN655G0528	0	0	0	0	0
ZN655G0529	0	0	0	0	0
ZN655G0530	0	0	0	0	0
ZN655G0531	0	0	0	0	0
ZN655G0532	0	0	0	0	0
ZN655G0533	0	0	0	0	0
ZN655G0534	6	4	6	7	0
ZN655G0535	366	634	464	2991	901
ZN655G0536	724	562	771	800	506
ZN655G0537	1377	1119	874	768	3034
ZN655G0538	1989	1472	1339	1188	2746
ZN655G0539	129	166	202	102	25
ZN655G0540	2203	1128	2302	2164	2493
ZN655G0541	140	134	143	212	572
ZN655G0542	7567	5117	6167	9952	42034
ZN655G0543	25	35	13	11	100
ZN655G0544	0	0	0	0	1
ZN655G0545	311	240	292	299	331
ZN655G0546	59	74	87	59	13
ZN655G0547	180	194	246	135	54
ZN655G0548	0	0	0	0	0
ZN655G0549	8	6	3	4	4
ZN655G0550	0	0	0	1	0
ZN655G0551	45	90	119	39	49
ZN655G0552	266	73	140	11	51
ZN655G0553	2	6	16	2	6
ZN655G0554	0	0	0	0	0
ZN655G0555	0	0	0	0	0
ZN655G0556	0	0	0	0	0
ZN655G0557	3427	2965	1777	15933	1627
ZN655G0558	1131	930	540	6726	145
ZN655G0559	41	24	2	253	0
ZN655G0560	89	104	111	5	11
ZN655G0561	242	260	362	180	55
ZN655G0562	0	0	0	0	0
ZN655G0563	0	0	0	0	0
ZN655G0564	0	0	0	0	0
ZN655G0565	0	0	0	0	0
ZN655G0566	0	0	0	0	0
ZN655G0567	0	0	0	0	0
ZN655G0568	0	0	0	0	0
ZN655G0569	0	0	0	0	0
ZN655G0570	0	0	0	0	0
ZN655G0571	0	0	0	0	0
ZN655G0572	0	0	0	0	0
ZN655G0573	0	0	0	0	0
ZN655G0574	0	0	0	0	2
ZN655G0575	13	12	11	11	19
ZN655G0576	0	0	0	0	0
ZN655G0577	0	0	0	0	0
ZN655G0578	0	0	0	0	0
ZN655G0579	268	296	338	371	605
ZN655G0580	293	1360	889	114	1606
ZN655G0581	1	2	3	1	0
ZN655G0582	0	0	0	0	0
ZN655G0583	1	5	10	1	2
ZN655G0584	50	76	54	93	95
ZN655G0585	218	190	276	117	360
ZN655G0586	5021	2727	4168	2220	1113
ZN655G0587	1	0	0	0	2
ZN655G0588	28	64	50	66	24
ZN655G0589	315	453	485	169	77
ZN655G0590	0	4	4	0	5
ZN655G0591	12	2	2	516	8
ZN655G0592	0	0	0	1	0
ZN655G0593	0	0	0	0	0
ZN655G0594	0	0	1	0	0
ZN655G0595	370	1468	1659	110	62
ZN655G0596	327	265	246	317	592
ZN655G0597	1619	2422	3356	505	446
ZN655G0598	0	0	0	0	0
ZN655G0599	0	0	0	0	1
ZN655G0600	954	989	1140	1318	782
ZN655G0601	428	708	744	404	583
ZN655G0602	186	61	39	31	264
ZN655G0603	0	1	0	0	0
ZN655G0604	2204	3227	3726	1639	626
ZN655G0605	0	0	0	0	0
ZN655G0606	0	0	0	0	0
ZN655G0607	0	0	0	0	0
ZN655G0608	853	538	623	1242	1162
ZN655G0609	1	3	3	0	1
ZN655G0610	989	593	418	53	99
ZN655G0611	0	0	0	0	0
ZN655G0612	104	53	25	9	37
ZN655G0613	2	0	0	0	0
ZN655G0614	27	44	30	26	22
ZN655G0615	22	41	36	31	6
ZN655G0616	864	1071	845	1055	680
ZN655G0617	186	185	217	280	122
ZN655G0618	67	48	180	6	46
ZN655G0619	676	774	650	494	695
ZN655G0620	19	7	11	2	4
ZN655G0621	113	150	97	77	54
ZN655G0622	364	530	685	38	66
ZN655G0623	1	0	0	0	0
ZN655G0624	1	1	0	0	0
ZN655G0625	1320	1776	2174	988	210
ZN655G0626	147	115	118	144	119
ZN655G0627	274	292	173	682	232
ZN655G0628	1	0	0	0	0
ZN655G0629	304	241	305	317	396
ZN655G0630	0	0	0	0	0
ZN655G0631	1386	1980	2110	2945	2132
ZN655G0632	51	87	56	339	337
ZN655G0633	1304	1373	1456	2005	1694
ZN655G0634	329	520	433	394	409
ZN655G0635	269	266	317	122	114
ZN655G0636	1	0	0	0	0
ZN655G0637	0	0	0	0	0
ZN655G0638	5281	3188	2242	1059	324
ZN655G0639	0	0	0	0	0
ZN655G0640	0	0	0	0	0
ZN655G0641	0	2	0	1	2
ZN655G0642	0	0	0	0	0
ZN655G0643	0	0	0	0	0
ZN655G0644	0	0	0	0	0
ZN655G0645	0	0	0	0	0
ZN655G0646	0	0	0	0	0
ZN655G0647	0	0	0	0	0
ZN655G0648	0	0	0	0	0
ZN655G0649	0	0	0	0	0
ZN655G0650	0	0	0	0	0
ZN655G0651	0	0	0	0	0
ZN655G0652	110	65	111	80	62
ZN655G0653	0	0	0	0	0
ZN655G0654	0	0	0	0	0
ZN655G0655	0	0	0	0	0
ZN655G0656	0	0	0	0	0
ZN655G0657	0	0	0	0	0
ZN655G0658	177	564	353	182	162
ZN655G0659	547	476	421	413	270
ZN655G0660	1249	1064	795	1428	2579
ZN655G0661	1168	1135	1367	485	959
ZN655G0662	41	72	81	190	60
ZN655G0663	11	11	6	15	6
ZN655G0664	0	1	1	0	0
ZN655G0665	190	213	93	354	455
ZN655G0666	0	0	0	0	0
ZN655G0667	0	0	0	0	0
ZN655G0668	70	76	171	219	20
ZN655G0669	951	938	782	1490	1997
ZN655G0670	1361	1040	1074	129	155
ZN655G0671	0	0	0	0	0
ZN655G0672	2	0	2	2	8
ZN655G0673	0	0	0	0	0
ZN655G0674	1191	1091	1193	1349	795
ZN655G0675	0	0	0	0	0
ZN655G0676	4667	5065	4850	447	474
ZN655G0677	5	1	0	0	1
ZN655G0678	38	97	61	22	31
ZN655G0679	57	101	122	48	31
ZN655G0680	1155	1631	1395	1309	996
ZN655G0681	591	814	631	536	289
ZN655G0682	5	10	4	1	0
ZN655G0683	83	97	134	93	56
ZN655G0684	2	1	2	3	9
ZN655G0685	0	9	8	0	4
ZN655G0686	0	0	0	0	0
ZN655G0687	0	54	3	0	0
ZN655G0688	0	0	0	0	0
ZN655G0689	0	0	0	0	0
ZN655G0690	0	0	0	0	0
ZN655G0691	0	0	0	0	0
ZN655G0692	0	0	0	0	0
ZN655G0693	0	19	7	0	3
ZN655G0694	261	491	563	310	144
ZN655G0695	0	0	0	0	0
ZN655G0696	0	0	0	0	0
ZN655G0697	0	140	109	0	2
ZN655G0698	0	128	30	0	0
ZN655G0699	0	0	0	0	0
ZN655G0700	0	0	0	0	0
ZN655G0701	0	0	0	0	0
ZN655G0702	0	0	0	0	0
ZN655G0703	0	0	0	0	0
ZN655G0704	0	0	0	0	0
ZN655G0705	0	0	0	0	0
ZN655G0706	0	0	0	0	0
ZN655G0707	1824	1879	1421	2	143
ZN655G0708	0	0	0	0	0
ZN655G0709	1	7	1	0	1
ZN655G0710	0	0	0	0	0
ZN655G0711	0	0	0	0	0
ZN655G0712	337	223	345	0	17
ZN655G0713	0	0	0	0	0
ZN655G0714	0	0	0	0	0
ZN655G0715	0	0	0	0	0
ZN655G0716	0	0	0	0	0
ZN655G0717	2454	1185	1686	152	385
ZN655G0718	8	2	3	3	0
ZN655G0719	0	0	0	0	0
ZN655G0720	0	0	0	0	0
ZN655G0721	0	0	0	0	0
ZN655G0722	0	1	0	0	0
ZN655G0723	105	48	39	99	219
ZN655G0724	0	0	0	0	0
ZN655G0725	0	0	0	0	0
ZN655G0726	0	0	0	0	0
ZN655G0727	0	0	0	0	0
ZN655G0728	0	0	0	0	0
ZN655G0729	1	3	4	1	4
ZN655G0730	144	51	46	11	116
ZN655G0731	701	661	580	212	378
ZN655G0732	17	25	36	11	37
ZN655G0733	14	17	16	18	29
ZN655G0734	43	69	75	69	45
ZN655G0735	0	0	0	0	0
ZN655G0736	0	0	0	0	0
ZN655G0737	0	0	0	0	0
ZN655G0738	71	58	62	31	1101
ZN655G0739	457	473	510	496	362
ZN655G0740	0	1	0	3	3
ZN655G0741	244	129	213	48	280
ZN655G0742	0	6	3	0	0
ZN655G0743	276	609	298	373	76
ZN655G0744	0	1	0	0	0
ZN655G0745	76	147	158	774	176
ZN655G0746	0	1	0	0	0
ZN655G0747	0	0	0	0	0
ZN655G0748	0	0	0	0	0
ZN655G0749	516	1230	560	2529	692
ZN655G0750	75	235	188	13	41
ZN655G0751	0	0	0	0	0
ZN655G0752	1994	1597	1743	1325	389
ZN655G0753	996	1325	935	896	1354
ZN655G0754	0	0	0	0	0
ZN655G0755	0	0	0	0	0
ZN655G0756	0	0	0	0	0
ZN655G0757	823	724	740	1226	964
ZN655G0758	0	0	0	0	0
ZN655G0759	0	5	7	20	49
ZN655G0760	275	299	145	111	900
ZN655G0761	0	0	0	0	0
ZN655G0762	0	0	0	0	0
ZN655G0763	0	0	0	0	0
ZN655G0764	0	0	0	0	0
ZN655G0765	0	0	0	0	0
ZN655G0766	0	0	0	0	0
ZN655G0767	0	0	0	0	0
ZN655G0768	0	0	0	0	0
ZN655G0769	0	0	0	0	0
ZN655G0770	0	0	0	0	0
ZN655G0771	0	1	0	0	0
ZN655G0772	0	1	1	12	0
ZN655G0773	251	140	274	1454	262
ZN655G0774	251	357	342	252	162
ZN655G0775	0	0	0	0	0
ZN655G0776	0	0	0	0	0
ZN655G0777	0	0	0	0	0
ZN655G0778	84	97	115	45	11
ZN655G0779	2	2	7	0	2
ZN655G0780	0	0	0	0	0
ZN655G0781	0	15	16	11	0
ZN655G0782	225	492	1035	15	155
ZN655G0783	0	0	0	0	0
ZN655G0784	0	0	0	0	0
ZN655G0785	90	105	118	57	18
ZN655G0786	512	1206	1145	271	96
ZN655G0787	1	0	2	0	0
ZN655G0788	0	1	2	0	1
ZN655G0789	735	732	800	1133	617
ZN655G0790	0	0	0	1	0
ZN655G0791	0	0	0	0	0
ZN655G0792	839	559	682	473	495
ZN655G0793	44	79	73	492	48
ZN655G0794	381	673	440	690	573
ZN655G0795	0	0	0	0	0
ZN655G0796	7	22	22	0	3
ZN655G0797	0	0	0	0	0
ZN655G0798	0	0	2	0	0
ZN655G0799	0	1	0	0	0
ZN655G0800	22	58	48	3	1
ZN655G0801	0	0	0	0	0
ZN655G0802	0	0	0	0	0
ZN655G0803	0	0	0	0	0
ZN655G0804	14	16	16	26	1
ZN655G0805	2663	3660	3117	3433	367
ZN655G0806	0	0	0	1	0
ZN655G0807	0	0	0	0	0
ZN655G0808	839	840	3956	193578	17374
ZN655G0809	0	0	0	0	0
ZN655G0810	0	0	0	0	0
ZN655G0811	0	0	0	0	0
ZN655G0812	0	0	0	0	0
ZN655G0813	0	0	0	0	0
ZN655G0814	0	0	1	0	0
ZN655G0815	0	0	0	0	0
ZN655G0816	2	24	16	0	1
ZN655G0817	42	192	119	759	555
ZN655G0818	0	0	0	0	0
ZN655G0819	0	0	0	0	0
ZN655G0820	0	0	2	0	0
ZN655G0821	163	305	546	900	19
ZN655G0822	0	0	0	0	0
ZN655G0823	0	13	1	16	3
ZN655G0824	474	710	740	1009	703
ZN655G0825	1154	554	519	124	599
ZN655G0826	0	0	1	0	0
ZN655G0827	12	0	0	0	0
ZN655G0828	10	0	0	0	50
ZN655G0829	7	1	1	0	93
ZN655G0830	0	0	0	0	2
ZN655G0831	52	80	88	8	5
ZN655G0832	0	0	0	0	0
ZN655G0833	3	20	11	19	63
ZN655G0834	0	0	0	0	0
ZN655G0835	0	0	0	0	0
ZN655G0836	2	7	10	2	14
ZN655G0837	1452	989	1053	1322	2677
ZN655G0838	24	68	76	43	36
ZN655G0839	119	272	365	80	24
ZN655G0840	0	0	0	0	0
ZN655G0841	1	6	18	1	0
ZN655G0842	0	0	0	0	0
ZN655G0843	2810	2834	2727	2200	1690
ZN655G0844	2053	1179	1024	2027	2635
ZN655G0845	0	0	0	0	0
ZN655G0846	0	0	0	0	0
ZN655G0847	1970	800	1424	610	4238
ZN655G0848	0	0	0	0	0
ZN655G0849	82	50	101	49	171
ZN655G0850	859	777	733	575	902
ZN655G0851	0	0	0	0	0
ZN655G0852	0	0	2	0	0
ZN655G0853	252	251	234	133	121
ZN655G0854	493	369	342	178	366
ZN655G0855	175	399	451	3	21
ZN655G0856	0	0	0	0	0
ZN655G0857	0	0	0	0	0
ZN655G0858	79	332	425	166	398
ZN655G0859	0	0	0	0	0
ZN655G0860	0	0	0	0	0
ZN655G0861	0	5	9	0	0
ZN655G0862	1	157	71	2	65
ZN655G0863	0	0	0	0	0
ZN655G0864	0	0	0	0	0
ZN655G0865	0	0	0	0	0
ZN655G0866	32	30	56	85	721
ZN655G0867	0	0	0	0	0
ZN655G0868	8	1	7	0	2
ZN655G0869	21	100	77	55	95
ZN655G0870	563	689	506	432	362
ZN655G0871	781	904	693	742	699
ZN655G0872	0	0	0	0	0
ZN655G0873	0	0	0	0	0
ZN655G0874	0	0	0	0	0
ZN655G0875	0	0	0	0	0
ZN655G0876	0	1	1	3	0
ZN655G0877	0	0	0	0	0
ZN655G0878	0	0	0	0	0
ZN655G0879	0	0	0	0	0
ZN655G0880	1742	1392	1574	1578	2885
ZN655G0881	145	370	125	172	122
ZN655G0882	0	2	0	3	0
ZN655G0883	6	51	59	86	85
ZN655G0884	0	0	0	0	0
ZN655G0885	45	110	82	69	65
ZN655G0886	2	3	1	4	3
ZN655G0887	23	758	662	92	83
ZN655G0888	14	880	544	166	49
ZN655G0889	0	0	0	0	0
